"","ADDRESSS","name","lat","long","accuracy","format_address"
"2279","1221 FULTON ST 11216","WING HING CHINESE FOOD INC",40.6807605,40.6807605,"premise","1221 Fulton St, Brooklyn, NY 11216, USA"
"2280","1221 JEROME AVENUE 10452","TITOS EMPANADAS Y MAS",40.8369431,40.8369431,"premise","1221 Jerome Ave, Bronx, NY 10452, USA"
"2281","1221 QUENTIN ROAD 11229","MITOUSHI JAPANESE SUSHI",40.6082136,40.6082136,"premise","1221 Quentin Rd, Brooklyn, NY 11229, USA"
"2282","12210 GUY R BREWER BLVD 11434","POPEYES LOUISIANA KITCHEN",40.678855,40.678855,"street_address","122-10 Guy R Brewer Blvd, Jamaica, NY 11434, USA"
"2283","122124 RIVINGTON STREET 10002","LA CAVERNA",40.7196024,40.7196024,"route","Rivington St, New York, NY 10002, USA"
"2284","12216 ROOSEVELT AVENUE 11368","FLUSHING MEADOWS PITCH AND PUTT",40.7583284,40.7583284,"street_address","12216 Roosevelt Ave, Flushing, NY 11354, USA"
"2285","1222 CORTELYOU ROAD 11218","NEW HONG KONG RESTAURANT II",40.6401108,40.6401108,"premise","1222 Cortelyou Rd, Brooklyn, NY 11218, USA"
"2286","1222 KINGS HWY 11229","RED MANGO",40.6077605,40.6077605,"premise","1222 Kings Hwy, Brooklyn, NY 11229, USA"
"2287","1222 NOSTRAND AVE 11225","FAYE AND KINGS II",40.6573816,40.6573816,"street_address","1222 Nostrand Ave, Brooklyn, NY 11225, USA"
"2288","12221 MERRICK BLVD 11434","CHECKERS",40.6835775,40.6835775,"premise","122-21 Merrick Blvd, Jamaica, NY 11434, USA"
"2289","12221 ROCKAWAY BOULEVARD 11420","ROCKAWAY ROTI SHOP",40.6759383,40.6759383,"premise","122-21 Rockaway Blvd, South Ozone Park, NY 11420, USA"
"2290","1223 3 AVENUE 10021","CAFFE BACIO",40.7686791,40.7686791,"street_address","1223 3rd Ave, New York, NY 10021, USA"
