"","ADDRESSS","name","lat","long","accuracy","formatted_address"
"59","241 WEST   14 STREET 10011","NORWOOD",40.7394874,-74.0012587,"premise","241 W 14th St, New York, NY 10011, USA"
"60","241 WEST 42 STREET 10036","DALLAS BBQ",40.7570673,-73.9886248,"street_address","241 W 42nd St, New York, NY 10036, USA"
"61","2410 ARTHUR AVENUE 10458","TINOS DELICATESSEN",40.8557741,-73.8870805,"premise","2410 Arthur Ave, Bronx, NY 10458, USA"
"62","2410 CONEY ISLAND AVE 11223","MCDONALD'S",40.5980829,-73.9614416,"premise","2410 Coney Island Ave, Brooklyn, NY 11223, USA"
"63","24106 HILLSIDE AVENUE 11426","HILLSIDE DELICATESSEN AND CATERERS",40.7336137,-73.7247905,"street_address","241-06 Hillside Avenue, Jamaica, NY 11426, USA"
"64","2411 86TH ST 11214","MCDONALD'S",40.5992539,-73.9890666,"street_address","2411 86th St, Brooklyn, NY 11214, USA"
"65","2411 STEINWAY STREET 11103","DUZAN",40.7686462,-73.9108655,"street_address","24-11 Steinway St, Astoria, NY 11103, USA"
"66","2412 3RD AVE 10454","MOTT HAVEN BAR & GRILL",40.808318,-73.930394,"street_address","2412 Third Ave, Bronx, NY 10454, USA"
"67","2412 STEINWAY STREET 11103","DUNKIN' DONUTS",40.7626109,-73.9156998,"street_address","2412 Steinway St, Astoria, NY 11103, USA"
"68","24121 BRADDOCK AVE 11426","VINNY'S PIT STOP",40.7264928,-73.7266501,"street_address","241-21 Braddock Ave, Jamaica, NY 11426, USA"
"69","2413 WESTCHESTER AVENUE 10461","NEW JADE GARDEN",40.8375252,-73.8461623,"premise","2413 Westchester Ave, Bronx, NY 10461, USA"
"70","2413A 2ND AVE 10035","NEW DRAGON ONE",40.8019939,-73.9345072,"premise","2413a 2nd Ave, New York, NY 10035, USA"
"71","2414 149 STREET 11357","PARKSIDE PUB",40.7769904,-73.8177976,"street_address","24-14 149th St, Flushing, NY 11357, USA"
"72","2414 34 AVENUE 11106","HUNAN CHINESE RESTAURANT",40.7614146,-73.9310107,"street_address","24-14 34th Ave, Astoria, NY 11106, USA"
"73","2414 GERRITSEN AVENUE 11229","VETERANS OF FOREIGN WARS POST #107 CANTEEN",40.598023,-73.931262,"street_address","2414 Gerritsen Ave, Brooklyn, NY 11229, USA"
"74","2414 WILLIAMSBRIDGE RD 10469","YANG'S HAPPY GARDEN",40.8615656,-73.8573773,"street_address","2414 Williamsbridge Rd, Bronx, NY 10469, USA"
"75","2415 E TREMONT AVE 10461","FRANKY POLLOS",40.842788,-73.8530097,"premise","2415 E Tremont Ave, Bronx, NY 10461, USA"
"76","2415 STEINWAY ST 11103","CAIRO GRILL & SEAFOOD",40.7685916,-73.9109068,"street_address","2415 Steinway St, Astoria, NY 11103, USA"
"77","2417 149 STREET 11357","WHITESTONE BAGEL FACTORY",40.7768177,-73.817261,"street_address","24-17 149th St, Flushing, NY 11357, USA"
