"ADDRESSS" "name"
"327" "4019 GLEANE ST 11373" "TERRAZA 7 TRAIN CAFE"
"328" "402 8 AVENUE 10001" "MOLLY WEE PUB"
"329" "402 E 120TH ST 10035" "LINDO MICHOACAN MEXICAN CUISINE"
"330" "402 EAST   78 STREET 10075" "SUSHI OF GARI"
"331" "402 HENRY STREET 11201" "HAPPY GARDEN"
"332" "402 HUNTS POINT AVENUE 10474" "THE POINT CAFE & GRILL"
"333" "402 W 44TH ST 10036" "GALLO NERO"
"334" "402 WEST   34 STREET 10001" "SKYLIGHT DINER"
"335" "402 WEST   43 STREET 10036" "ESCA"
"336" "4020 149 PLACE 11354" "OPEN KARAOKE"
"337" "4020 5 AVENUE 11232" "CASTILLO ECUATORIANO RESTAURANT"
"338" "4020 BROADWAY 10032" "TASTY DELI"
"339" "4020 JUNCTION BLVD 11368" "LOS TRES POTRILLOS"
"340" "4021 108TH ST 11368" "VINICIO'S RESTAURANT"
"341" "4021 22 STREET 11101" "NEW DAWN RESTAURANT"
"342" "4021 5 AVENUE 11232" "LA FLOR DE IZUCAR BAKERY"
"343" "4021 BROADWAY 10032" "REME RESTAURANT"
"344" "4021 GLENWOOD ROAD 11210" "JJ'S COFFEE SHOP AND RESTAURANT FRITAILLE"
"345" "4021 MAIN STREET 11354" "NOODLE VILLAGE SO GOOD"
"346" "4022 5TH AVE 11232" "PARKETTE BROOKLYN"
"347" "4023 GLENWOOD RD 11210" "TIAN FA"
"348" "4024 162ND ST 11358" "KOKIO RESTAURANT"
"349" "4024 8TH AVE 11232" "PARLAY"
"350" "4024 COLLEGE POINT BLVD 11354" "GRANDMA'S DIM SUM"
"351" "4024 COLLEGE POINT BOULEVARD 11354" "SKY FOOD COURT(SKY MALL)"
"352" "4024 WHITE PLAINS ROAD 10466" "THE PIZZA PLACE"
"353" "4025 FORLEY ST 11373" "PRONTITO"
"354" "4026 10TH AVE 10034" "CAFE SAHARA"
"355" "4026 NATIONAL ST 11368" "AZOGUENITA  BAKERY & RESTAURANT"
"356" "4026 UNION ST 11354" "YUMMY SZECHUAN HOUSE"
"357" "4028 BROADWAY 10032" "JADE GARDEN"
"358" "4028 COLLEGE POINT BOULEVARD 11354" "APPLEBEE'S"
"359" "4028 MAIN ST 11354" "HAPPY RESTAURANT"
"360" "4029 EAST TREMONT AVENUE 10465" "The Wicked Wolf"
"361" "4029 HYLAN BLVD 10308" "JOE BROADWAY'S SPORT CLUB"
"362" "403 A AMSTERDAM AVENUE 10024" "AMSTERDAM GOURMET"
