"ADDRESSS" "name"
"2183" "486 LENOX AVE 10037" "MANNA'S SOUL FOOD RESTAURANT"
"2184" "486 METROPOLITAN AVE 11211" "ROCKA ROLLA"
"2185" "4863 BROADWAY 10034" "BOCADITO BISTRO & ESPRESSO BAR"
"2186" "4864 ARTHUR KILL ROAD 10309" "THE LOFT AT ARIANA'S GRAND"
"2187" "487 7 AVENUE 11215" "FRIEND'S PIZZA CAFE"
"2188" "487 AMSTERDAM AVENUE 10024" "Bustan"
"2189" "487 COURT STREET 11231" "NATURALLY DELICIOUS CATERERS"
"2190" "487 GRAND STREET 11211" "GARDEN KITCHEN"
"2191" "487 SENECA AVE 11385" "CENTRAL CAFE SENECA"
"2192" "488 3 AVENUE 10016" "CALIENTE CAB"
"2193" "488 8 AVENUE 10001" "FAMOUS FAMIGLIA PIZZERIA"
"2194" "488 9 AVENUE 10018" "TAVOLA"
"2195" "488 AMSTERDAM AVENUE 10024" "ALACHI MASALA INDIAN RESTAURANT"
"2196" "488 EAST   98 STREET 11212" "PARADISE 2 INTERNATIONAL RESTAURANT AND BAKERY"
"2197" "488 KINGS HIGHWAY 11223" "ENZO'S PIZZERIA & ITALIAN SPECIALTIES"
"2198" "4882 ARTHUR KILL RD 10309" "SOUTH SHORE HOT BAGELS"
"2199" "489 5 AVENUE 11215" "NUEVO MEXICO MEXICAN RESTAURANT"
"2200" "489 AMSTERDAM AVENUE 10024" "KING FOOD"
"2201" "489 COLUMBUS AVE 10024" "SAVOURY INDIAN CUISINE"
"2202" "489 COURT ST 11231" "TAKE A BREAK & I'LL BAKE CAFE & CREPERIE"
"2203" "489 ROCKAWAY AVE 11212" "BIG APPLE KITCHEN"
"2204" "4892 BROADWAY 10034" "INWOOD BEER GARDEN & BISTRO"
"2205" "48991 3 AVENUE 10016" "SUBWAY"
"2206" "49 ANN ST 10038" "WXYZ BAR"
"2207" "49 BAYARD STREET 10013" "VIVI BUBBLE TEA"
"2208" "49 BEACH ST 10013" "IL MATTONE"
"2209" "49 BOGART STREET 11206" "THE SWALLOW CAFE & ESPRESSO BAR"
"2210" "49 BROADWAY 10006" "CAFE EXCHANGE"
"2211" "49 CANAL ST 10002" "DIMES"
"2212" "49 CARMINE ST 10014" "THE GREY DOG"
"2213" "49 CLINTON ST 10002" "AZASU"
"2214" "49 DIVISION ST 10002" "HUA XIA RESTAURANT"
"2215" "49 GRAND CENTRAL TERMINAL 10017" "SHAKE SHACK"
"2216" "49 GROVE STREET 10014" "49 GROVE"
"2217" "49 MOTHER GASTON BOULEVARD 11233" "NEW JIN BU RESTAURANT"
"2218" "49 NASSAU ST 10038" "DUNKIN' DONUTS"
"2219" "49 W 20TH ST 10011" "JUE LAN CLUB"
"2220" "49 W 27TH ST 10001" "MULBERRY AND VINE"
"2221" "49 WARREN ST 10007" "GALERIE DECAFE"
"2222" "49 WEST   24 STREET 10010" "TAPPO"
"2223" "49 WEST   39 STREET 10018" "THE KATI ROLL COMPANY"
"2224" "49 WEST   44 STREET 10036" "TRIOMPHE"
"2225" "49 WEST   64 STREET 10023" "ATLANTIC GRILL WEST"
"2226" "49 WEST  170 STREET 10452" "NUEVA VIDA"
"2227" "490 8 AVENUE 10001" "MCDONALD'S"
"2228" "490 8TH AVE 10001" ""
"2229" "490 BERGEN STREET 11217" "CHICK P"
"2230" "490 BROADWAY 10310" "CASA CHONITA"
"2231" "490 DEKALB AVE 11205" "PUNTA CANA COFFEE SHOP"
"2232" "490 HUMBOLDT ST 11222" "RINGOLEVIO"
"2233" "4901 12 AVENUE 11219" "SCHICK'S MANOR"
"2234" "4901 8 AVENUE 11220" "DOMINICKS  PIZZERIA"
"2235" "4901 BEACH CHANNEL DR 11691" "PAPA JOHN'S"
"2236" "4902 CHURCH AVE 11203" "MR MCKAY'S MORE THAN SALADS"
"2237" "4902 FORT HAMILTON PKWY 11219" "3 IN 1 KITCHEN"
"2238" "4902 VERNON BOULEVARD 11101" "DUNKIN' DONUTS, BASKIN ROBBINS"
"2239" "4903 5 AVE 11220" "SUNSET BAGELS"
"2240" "4903 7TH AVE 11220" ""
"2241" "4904 69 STREET 11377" "LUKE KELLYS"
"2242" "4904 FORT HAMILTON PKWY 11219" "PARADISE RESTAURANT"
"2243" "490494 LA GUARDIA PLACE 10012" "SILVER SPURS/MOLCAJATE TAQUERIA"
"2244" "4905 103 STREET 11368" "MUNDO MAGICO"
"2245" "4905 13TH AVE 11219" "BLEU MODERN KITCHEN"
"2246" "4906 43 AVENUE 11377" "EL REY DE LOS TACOS"
"2247" "4906 ARTHUR KILL RD 10309" "AVOCADO SUSHI"
"2248" "4906 VERNON BLVD 11101" "TUK TUK"
"2249" "4908 43 AVENUE 11377" "I AM THAI EXPRESS RESTAURANT"
"2250" "4908 QUEENS BLVD 11377" "TIBETAN DUMPLING CAFE"
"2251" "4909 25TH AVE 11377" "STARLETS"
"2252" "4909 NORTHERN BOULEVARD 11101" "NEW YORK DINER"
"2253" "491 COLUMBUS AVENUE 10024" "GASTRONOMIE 491"
"2254" "491 NOSTRAND AVE 11216" "CHECKERS"
"2255" "491/2 1 AVENUE 10003" "STARBUCKS"
"2256" "4910 5 AVENUE 11220" "CHARLES PIZZERIA"
"2257" "4910 QUEENS BLVD 11377" "TITO RADS GRILL"
"2258" "4910 SKILLMAN AVE 11377" "THE GLOBE TAVERN"
"2259" "4910 VERNON BLVD 11101" ""
"2260" "4911 ROOSEVELT AVE 11377" "SIK GAEK"
"2261" "4911 VERNON BOULEVARD 11101" "PARIS GOURMET DELI"
"2262" "4912 30TH AVE 11377" "KINGS WOK"
"2263" "4912 AVENUE K 11234" "NEW HOT WOK"
"2264" "4912 FORT HAMILTON PARKWAY 11219" "DUNKIN' DONUTS"
"2265" "4912 QUEENS BLVD 11377" "KABAYAN FILIPINO RESTAURANT"
"2266" "4914 30 AVENUE 11377" "MAMA CARMELA'S"
"2267" "4914 QUEENS BOULEVARD 11377" "SECRETS GENTLEMAN'S CLUB"
"2268" "4915 8 AVE 11220" "HONG BAO RESTAURANT"
"2269" "4916 ARTHUR KILL RD 10309" "NIC ANGELO'S"
"2270" "4916 ARTHUR KILL ROAD 10309" "MUSCLE MAKER GRILL"
"2271" "4916 FORT HAMILTON PARKWAY 11219" "J & J HOT FOOD AND SALAD"
"2272" "4916 VERNON BOULEVARD 11101" "BUTCHER GOURMET DELI"
"2273" "4917 69TH ST 11377" "69 PIZZERIA"
"2274" "4917 8 AVENUE 11220" "XING XING RESTAURANT"
"2275" "4917 CHURCH AVE 11203" "FASTWAY RESTAURANT"
"2276" "4918 30TH AVE 11377" "THE BREWERY"
"2277" "4918 8 AVENUE 11220" "GREAT WALL CHINESE CUISINE"
"2278" "4919 30 AVENUE 11377" "PAPA JOHN'S"
"2279" "492 5TH AVE 11215" "LA ROYALE BEER BURGER HOUSE"
"2280" "492 6 AVENUE 11215" "LOCANDA MARIELLA"
"2281" "492 BAY STREET 10304" "BLU ON THE BAY"
"2282" "492 BROADWAY 11211" "SHELI RESTAURANT"
"2283" "492 E 98TH ST 11212" "HILLTON RESTAURANT"
"2284" "492 GRAND ST 11211" "ABBA BAR AND GRILL"
"2285" "4920 30TH AVE 11377" "PAT'S STATIONARY"
"2286" "4920 5 AVENUE 11220" "LA ISLA"
"2287" "4922 8TH AVE 11220" "LIANG'S SEAFOOD RESTAURANT"
"2288" "4922 FORT HAMILTON PKWY 11219" "JIMMY'S DELI & GRILL"
"2289" "4922 SKILLMAN AVENUE 11377" "AUBERGINE CAFFE"
"2290" "4923 18TH AVE 11204" "MENDEL'S PIZZA"
"2291" "4924 8TH AVE 11220" "YUAN BAO 50"
"2292" "4926 AVENUE K 11234" "DUNKIN' DONUTS"
"2293" "4926 BROADWAY 10034" "U LIKE CHINESE TAKE OUT"
"2294" "4927 BROADWAY 10034" "PAPA JOHN'S"
"2295" "493 2ND AVE 10016" "ASIA EXPRESS"
"2296" "493 3 AVENUE 10016" "MERCURY BAR"
"2297" "493 9TH AVE 10018" "INDIA KITCHEN"
"2298" "493 AMSTERDAM AVENUE 10024" "CAESAR'S PALACE"
"2299" "4930 20TH AVE 11204" "M AND M OKUN JUICE BAR"
"2300" "4930 KINGS HIGHWAY 11234" "POPEYES LOUISIANA KITCHEN"
"2301" "4932 BROADWAY 10034" "PICK AND EAT 2"
"2302" "4933 BROADWAY 10034" "CAPITOL RESTAURANT"
"2303" "494 4TH AVE 11215" "BARREL & FARE"
"2304" "494 8 AVENUE 10001" "STARBUCKS"
"2305" "494 8TH AVE 10001" "Bakery"
"2306" "494 9TH AVE 10018" "MANGANARO'S HERO BOY"
"2307" "494 AMSTERDAM AVENUE 10024" "LE PAIN QUOTIDIEN"
"2308" "494 ATLANTIC AVENUE 11217" "HOLLOW NICKEL"
"2309" "494 EAST  138 STREET 10454" "LATINO RESTAURANT"
"2310" "494 HUDSON STREET 10014" "SANPANINO"
"2311" "4942 BROADWAY 10034" "PIZZA HAVEN"
"2312" "4946 BROADWAY 10034" "PIPERS KILT"
"2313" "495 3 AVENUE 10016" "ETHOS GREEK CUISINE"
"2314" "495 BROADWAY 10012" "DRIVE 495"
"2315" "495 EAST  138 STREET 10454" "KENNEDY FRIED CHICKEN"
"2316" "495 GRAND ST 11211" "SILVER LINING CAFE"
"2317" "495 LORIMER STREET 11211" "GIMME COFFEE"
"2318" "495 NOSTRAND AVENUE 11216" "KFC"
"2319" "4953 B'WAY 10034" "DICHTER PHARMACY"
"2320" "4957 BROADWAY 10034" "INWOOD LOCAL WINE BAR & BEER GARDEN"
"2321" "4959 BROADWAY 10034" "YUMMY THAI"
"2322" "496 9 AVENUE 10018" "OOVINA"
"2323" "496 ATLANTIC AVENUE 11217" "MOON PALACE DELI"
"2324" "496 AVENUE OF THE AMERICAS 10011" "MI-NE SUSHI TOTOYA"
"2325" "496 E 161ST ST 10451" "SYMPHONY DINER"
"2326" "496 EAST  138 STREET 10454" "LITTLE CAESARS"
"2327" "496 HUDSON STREET 10014" "CC'S CAFE"
"2328" "496 LAGUARDIA PL 10012" "MOCHA BURGER"
"2329" "496 ROCKAWAY PARKWAY 11212" "ROYAL FRIED CHICKEN"
"2330" "4961 BROADWAY 10034" "DARLING COFFEE"
"2331" "497 3RD AVE 10016" "THE FLYING COCK PUB"
"2332" "497 5 AVENUE 11215" "COMMONWEALTH"
"2333" "497 6TH AVE 11215" "MUSE CAFE"
"2334" "497 7TH AVE 11215" "JOY KITCHEN"
"2335" "497 ALBANY AVENUE 11203" "MON HING RESTAURANT"
"2336" "497 ATLANTIC AVENUE 11217" "PARDES RESTAURANT"
"2337" "497 DEKALB AVE 11205" "BROOKLYN NIGHTS"
"2338" "497 GREENE AVE 11216" "CAPTAIN DAN'S GOOD TIME TAVERN"
"2339" "497 ROGERS AVE 11225" "THE OWL MUSIC PARLOR"
"2340" "4973 BROADWAY 10034" "GRANDPA'S BRICK OVEN PIZZA"
"2341" "498 7 AVENUE 10018" "COSI"
"2342" "498 9TH AVE 10018" "SIBLINGS"
"2343" "498 E 138TH ST 10454" "EL VIEJO GRAN CAFE"
"2344" "4986 BROADWAY 10034" "JR PRIMOS II RESTAURANT"
"2345" "499 3 AVENUE 10016" "BLOCKHEAD'S BURRITOS"
"2346" "499 EAST  163 STREET 10451" "POPEYES LOUISIANA KITCHEN"
"2347" "499 GRAND STREET 11211" "CAFE ARGENTINO"
"2348" "499 MYRTLE AVENUE 11205" "LOS POLLITOS III"
"2349" "499 ROGERS AVE 11225" "GRATITUDE CAFE"
"2350" "4996 BROADWAY 10034" "CHOCNYC BAKERY"
"2351" "5 AVENUE A 10009" "BOULTON & WATT"
"2352" "5 BEEKMAN ST 10038" "AUGUSTINE"
"2353" "5 BLEECKER ST 10012" "BESSOU"
"2354" "5 CARMINE STREET 10014" "POPBAR"
"2355" "5 CATHERINE STREET 10038" "A-WAH RESTAURANT"
"2356" "5 E 19TH ST 10003" "THAI VILLA"
"2357" "5 E 40TH ST 10016" "STARBUCKS"
"2358" "5 E 54TH ST 10022" "CHARLIE PALMER STEAK"
"2359" "5 EAST   20 STREET 10003" "L.A. BURDICK CHOCOLATES"
"2360" "5 EAST   38 STREET 10016" "BUTTERFILED 8"
"2361" "5 EAST   45 STREET 10176" "MORTON'S THE STEAKHOUSE"
"2362" "5 EAST   47 STREET 10017" "CAFE ALICE"
"2363" "5 EAST   66 STREET 10065" "LOTOS CLUB GRILL ROOM"
"2364" "5 EAST  208 STREET 10467" "WOK WOK RESTAURANT"
"2365" "5 EAST BROADWAY 10038" "DIM SUM GO GO"
"2366" "5 EDWARD M MORGAN PLACE 10032" "TASZO COFFEE"
"2367" "5 FERRY TERMINAL DR 10301" "STATUE OF LIBERTY DELI"
"2368" "5 FRONT STREET 11201" "GRAN ELECTRICA"
"2369" "5 GOLD STREET 10038" "GIARDINO D'ORO"
"2370" "5 HYATT STREET 10301" "GIUSEPPE'S PIZZA AT ST GEORGE"
"2371" "5 KING STREET 10012" "CHARLIE BIRD"
"2372" "5 MADISON AVENUE 10010" "NY EDITION HOTEL"
"2373" "5 MADISON ST 10038" "MADISON BAGEL AND GRILL"
"2374" "5 MOTT ST 10013" "BUDDHA BODAI ONE VEGETARIAN RESTAURANT"
"2375" "5 NEWKIRK PLAZA 11226" "DON BURRITO RESTAURANT"
"2376" "5 PARK PLACE 10007" "DUNKIN' DONUTS"
"2377" "5 SAINT MARKS PL 10003" "SPOT SHOPPE"
"2378" "5 SOMERS STREET 11233" "CROWN FRIED CHICKEN"
"2379" "5 SPRING STREET 10012" "SWEET & VICIOUS"
"2380" "5 ST MARKS PLACE 10003" "YAKITORI TAISHO"
"2381" "5 STUYVESANT OVAL 10009" "FIVESTUY CAFE"
"2382" "5 SUTTER AVE 11212" "BLENDZVILLE CAFE"
"2383" "5 TIMES SQ 10036" "RED LOBSTER"
"2384" "5 TIMES SQUARE 10036" "ERNST & YOUNG CAFE"
"2385" "5 W 21ST ST 10010" "KAT & THEO"
"2386" "5 W 31ST ST 10001" "OSAMIL"
"2387" "5 W 63RD ST 10023" "GOURMET TO GO MARKETS"
"2388" "5 W. 8TH STREET 10011" "MARGAUX"
"2389" "5 WALKER ST 10302" "MR. RICE CHINESE RESTAURANT"
"2390" "5 WEST   31 STREET 10001" "MINAR INDIAN RESTAURANT"
"2391" "5 WEST   32 STREET 10001" "BCD TOFU HOUSE"
"2392" "5 WEST   37 STREET 10018" "REICHENBACH HALL"
"2393" "5 WEST   51 STREET 10019" "SIMPLY FOOD"
"2394" "5 WEST TREMONT AVENUE 10453" "ELENA'S RESTUARANT"
"2395" "5-11 UNIVERSITY PLACE 10003" "NYU-WEINSTEIN DINING HALL"
"2396" "5-33 51ST AVE 11101" "51ST BAKERY AND CAFE"
"2397" "5-7 E 17TH ST 10003" "UNION FARE"
"2398" "50 2ND AVE 10003" "PROTO PIZZA"
"2399" "50 4TH AVE 11217" ""
"2400" "50 5TH AVE 11217" "PUNTA CANA RESTAURANT"
"2401" "50 AVENUE A 10009" "VILLA CEMITA"
"2402" "50 AVENUE B 10009" "LOVE CRAFT, JOHNNY FAVORITE'S"
"2403" "50 BROADWAY 10004" "PRET A MANGER"
"2404" "50 CARMINE ST 10014" "JACK'S WIFE FREDA"
"2405" "50 CENTRAL PARK SOUTH 10019" "THE BIG APPLE (RITZ CARLTON HOTEL EMPLOYEE CAFETERIA)"
"2406" "50 COMMERCE ST 10014" "50"
"2407" "50 COURT STREET 11201" "STARBUCKS"
"2408" "50 E 161ST ST 10451" "DUNKIN' DONUTS"
"2409" "50 E BROADWAY 10002" "Q & Q BAKERY"
"2410" "50 EAST   86 STREET 10028" "DEMARCHELIER RESTAURANT"
"2411" "50 EAST   87 STREET 10128" "NEWMAN AND LEVENTHAL CATERERS"
"2412" "50 ELDRIDGE STREET 10002" "SUNRISE RESTAURANT"
"2413" "50 FULTON ST 10038" "PAPAYA DOG"
"2414" "50 GANSEVOORT STREET 10014" "THE GRIFFIN"
"2415" "50 GREENWICH AVENUE 10011" "LUMPIA SHCK"
"2416" "50 HAVEN AVENUE 10032" "BARD BASEMENT FACULTY KITCHEN"
"2417" "50 HENRY STREET 11201" "BROOKLYN HEIGHTS WINE BAR"
"2418" "50 HOYT STREET 11201" "KRISPY KRUNCHY CHICKEN/BLUE CAFE"
"2419" "50 HUDSON ST 10013" "BAR CYRK NYC"
"2420" "50 LEXINGTON AVE 10010" "STARBUCKS"
"2421" "50 MACDOUGAL ST 10012" "EMMETTS"
"2422" "50 MOTT STREET 10013" "YEAH SHANGHAI DELUXE"
"2423" "50 NEW DORP PLAZA 10306" "RESTAURANT ON THE PLAZA PIZZERIA"
"2424" "50 PARKSIDE AVENUE 11226" "PARADE GROUNDS SNACK BAR"
"2425" "50 PENNYFIELD AVENUE 10465" "PADDY'S ON THE BAY"
"2426" "50 PINE STREET 10005" "DUNKIN' DONUTS"
"2427" "50 S 4TH ST 11249" "LANDHAUS"
"2428" "50 VANDERBILT AVENUE 10017" "YALE CLUB"
"2429" "50 W 47TH ST 10036" "ROBUSTA  ESPRESSO BAR"
"2430" "50 W. 23rd Street 10010" "BROOKLYN ROASTING WORKS"
"2431" "50 WASHINGTON STREET 11201" "WEST ELM MARKET"
"2432" "50 WEST   22 STREET 10010" "BXL ZOUTE"
"2433" "50 WEST   33 STREET 10001" "RICK'S CABARET"
"2434" "50 WEST   55 STREET 10019" "KIKKU JAPANESE RESTAURANT"
"2435" "50 WEST   56 STREET 10019" "PRINTON 56"
"2436" "50 WEST   57 STREET 10019" "MANGIA"
"2437" "50 WEST   72 STREET 10023" "RIPOSO 72"
"2438" "50 WEST   77 STREET 10024" "SCALETTA RISTORANTE"
"2439" "50 WEST  125 STREET 10027" "PEE DEE"
"2440" "50 WEST  225 STREET 10463" "STARBUCKS"
"2441" "50 WITHERS ST 11211" "LLAMA INN"
"2442" "50 WYCKOFF AVENUE 11237" "HEAVY WOODS"
"2443" "500 5 AVENUE 10110" "JAMBA JUICE"
"2444" "500 AVENUE OF THE AMERICAS 10011" "MURRAY'S BAGELS"
"2445" "500 BAY ST 10304" "Paulie's Pizzeria"
"2446" "500 CITY ISLAND AVE 10464" "OHANA JAPANESE HIBACHI SEAFOOD & STEAK"
"2447" "500 CLARKSON AVENUE 11203" "BRICK PIZZERIA, NATHAN'S FAMOUS HOT DOGS"
"2448" "500 E 149TH ST 10455" "149 STEAM FISH"
"2449" "500 E 76TH ST 10021" "BAGELS & CO"
"2450" "500 EAST   30 STREET 10016" "THE WATER CLUB"
"2451" "500 EAST   62 STREET 10065" "PRIME AT THE BENTLEY"
"2452" "500 FOREST AVENUE 10310" "KING'S ARMS RESTAURANT"
"2453" "500 GRAND CONCOURSE 10451" "HOSTOS COMMUNITY COLLEGE"
"2454" "500 GRAND STREET 10002" "ZAFI'S LUNCHEONETTE"
"2455" "500 HENDERSON AVENUE 10310" "VINCENTS BAGEL"
"2456" "500 HUTCHINSON RIVER PKWY 10465" "TRUMP GOLF LINKS AT FERRY POINT"
"2457" "500 MORRIS PARK AVE 10460" "EL RINCONSITO SPORT BAR & RESTAURANT"
"2458" "500 RIVERSIDE DR 10027" "INTERNATIONAL HOUSE DINING"
"2459" "500 TIFFANY STREET 10474" "DELFINI RESTAURANT"
"2460" "500 W 120TH ST 10027" "CARLETON LOUNGE"
"2461" "500 W 145TH ST 10031" "SUGAR CAFE"
"2462" "500 W 146TH ST 10031" "CHOPPED PARSLEY"
"2463" "500 W 178TH ST 10033" "LA YOLA"
"2464" "500 W 30TH ST 10001" "THINK COFFEE"
"2465" "500 W 42ND ST 10036" "RUSTIC TABLE"
"2466" "500 W 43RD ST 10036" "WALTER'S COTTAGE"
"2467" "500 WEST   43 STREET 10036" "HAPPY FAMILY"
"2468" "500 WEST   48 STREET 10036" "FAIRYTALES LOUNGE"
"2469" "500 WEST   57 STREET 10019" "A.R.E.B.A.-CASRIEL"
"2470" "500 WEST  145 STREET 10031" "SUGAR CAFE"
"2471" "500 WEST  168 STREET 10032" "CHRIST COFFEE SHOP & DELI"
"2472" "500 WEST  207 STREET 10034" "EL LINA RESTAURANT"
"2473" "5000 GRAND AVENUE 11378" "ANGELOS DELI RESTAURANT"
"2474" "5001 13 AVENUE 11219" "SPOONS"
"2475" "5001 4 AVENUE 11220" "DELI & GRILL"
"2476" "5001 QUEENS BOULEVARD 11377" "BOSTON MARKET"
"2477" "5002 3RD AVE 11220" "SUNSET BEER AND WINE LOUNBGE"
"2478" "5002 5TH AVE 11220" "HI TEA"
"2479" "5002 VERNON BOULEVARD 11101" "P. J. LEAHY'S BAR & GRILL"
"2480" "5004 VERNON BOULEVARD 11101" "DOMAINE WINE BAR"
"2481" "5007 16 AVENUE 11204" "MOTI'S"
"2482" "5008 69 STREET 11377" "LUCKY CHINESE RESTAURANT"
"2483" "5008 SKILLMAN AVE 11377" "NEW SZECHUAN HOUSE"
"2484" "5009 16 AVENUE 11204" "HUNGARIAN KOSHER"
"2485" "5009 BROADWAY 10034" "LIFFY II BAR"
"2486" "501 5TH AVE 10017" "ZIBETTO ESPRESSO BAR"
"2487" "501 7 AVENUE 10018" "CHIPOTLE MEXICAN GRILL"
"2488" "501 BAY STREET 10304" "MCDONALD'S"
"2489" "501 HUNTS POINT AVENUE 10474" "LA ESQUINITA DEL SABOR RESTAURANT"
"2490" "501 KINGS HWY 11223" "NY BAGEL CANFE N DELI"
"2491" "501 LEXINGTON AVENUE 10017" "LILY'S BAR @ ROGER SMITH HOTEL"
"2492" "501 NOSTRAND AVE 11216" "IAN'S COFFEE SHOP"
"2493" "501 THIRD AVENUE 10016" "LA GIARA"
"2494" "501 W 214TH ST 10034" "CAFE TABACO & RON"
"2495" "501 W 30TH ST 10001" "L'OREAL EDR"
"2496" "501 WEST  184 STREET 10033" "CHOP CHOP"
"2497" "501 WEST 145 ST 10031" "HOLY MOLY (JESUS' TACO)"
"2498" "501 WEST 51 STREET 10019" "IL MELOGRANO"
"2499" "5010 8TH AVE 11220" "YUMMY BAKERY"
"2500" "5010 NORTHERN BOULEVARD 11101" "ROCCO'S ITALIAN SAUSAGES & PHILLY CHEESESTEAKS"
"2501" "50112 EAST   83 STREET 10028" "YORKAFE"
"2502" "5012 AVENUE M 11234" "KATOU FINE RESTAURANT"
"2503" "5012 SKILLMAN AVE 11377" "COTE SOLEIL"
"2504" "5012 VERNON BOULEVARD 11101" "TOURNESOL"
"2505" "5013 7TH AVE 11220" "BON APPETITE BAKERY"
"2506" "5013 AVENUE D 11203" "JOYCE'S WEST INDIES RESTAURANT"
"2507" "5014 3 AVENUE 11220" "USULUTECO 2 RESTAURANTE SALVADORENO"
"2508" "5014 8TH AVE 11220" "HAPPY HOUSE SEAFOOD RESTAURANT"
"2509" "5017 6TH AVE 11220" "CLAYPOT NOODLE SHOP"
"2510" "5017 8 AVENUE 11220" "HOMETOWN CUISINE"
"2511" "5017 SKILLMAN AVE 11377" ""
"2512" "5018 ROOSEVELT AVE 11377" "SUBWAY"
"2513" "5019 SKILLMAN AVENUE 11377" "T.J. ASIAN BISTRO"
"2514" "501B ATLANTIC AVE 11217" "MASALA GRILL"
"2515" "502 6 AVENUE 10011" "BAR SIX"
"2516" "502 9 AVENUE 10018" "BUONGIORNO ESPRESSO"
"2517" "502 AMSTERDAM AVENUE 10024" "CELESTE"
"2518" "502 AVENUE U 11223" "POSH TOMATO"
"2519" "502 COURT STREET 11231" "LE PETIT CAFE"
"2520" "502 EAST  138 STREET 10454" "EXPRESS BROOK LUNCH RESTAURANT"
"2521" "502 FRANKLIN AVE 11238" "GLORIETTA BALDY"
"2522" "502 GRAND ST 11211" "MCONDO 502"
"2523" "502 HENDERSON AVE 10310" "UNION HALL"
"2524" "502 HENRY ST 11231" "PURBIRD"
"2525" "502 HUDSON STREET 10014" "HUDSON BAGELS"
"2526" "5020 108 STREET 11368" "LORENAS FRUIT"
"2527" "5022 39 AVENUE 11377" "DONATO'S PIZZERIA RESTAURANT"
"2528" "5023 10 AVENUE 11219" "LA STRADA PIZZERIA RESTAURANT"
"2529" "5024 7TH AVE 11220" "DONG HAI"
"2530" "5024 SKILLMAN AVENUE 11377" "COPPER KETTLE"
"2531" "5025 BROADWAY 10034" "CARROT TOP PASTRIES II"
"2532" "5025-5035 BROADWAY 10040" "CAVALA"
"2533" "503 COLUMBUS AVENUE 10024" "PROHIBITION"
"2534" "503 EAST   12 STREET 10009" "DOUBLE WIDE BAR"
"2535" "503 JACKSON AVENUE 10455" "MEXICOSINA"
"2536" "503 MYRTLE AVENUE 11205" "WRAY'S CARIBBEAN AND SEAFOOD CUISINE"
"2537" "503 W 57TH ST 10019" "CASABIANCA  PIZZA RESTAURANT"
"2538" "503 WEST   28 STREET 10001" "HIGHLINE PIZZERIA"
"2539" "503 WEST   43 STREET 10036" "CANARD INC"
"2540" "504 39TH ST 11232" "KOOL JUICE & COFFEE BAR"
"2541" "504 6TH AVE 10011" "CHIPOTLE MEXICAN GRILL"
"2542" "504 BRIGHTON BEACH AVENUE 11235" "NEW CAFE MINUTKA-HOME KITCHEN"
"2543" "504 BROADWAY 10012" "FORTY CARROTS"
"2544" "504 CLARKSON AVENUE 11203" "CROWN FRIED CHICKEN"
"2545" "504 EAST   12 STREET 10009" "BUGS"
"2546" "504 EAST  138 STREET 10454" "GOLDEN PIZZA"
"2547" "504 FLATBUSH AVE 11225" "BLUEBIRD FOOD & SPIRITS"
"2548" "504 FRANKLIN AVE 11238" "DINGHY"
"2549" "504 UTICA AVE 11203" "SUBWAY"
"2550" "504A E 98TH ST 11212" "YOO EVERGREEN"
"2551" "505 3 AVENUE 10016" "CINEMA CAFE & BAR"
"2552" "505 51 STREET 11220" "PIAXTLA ES MEXICO DELI"
"2553" "505 8 AVENUE 10018" "INTERNATIONAL GOURMET KITCHEN"
"2554" "505 COLUMBUS AVENUE 10024" "KEFI"
"2555" "505 DEKALB AVENUE 11205" "LA VILLA CAFE"
"2556" "505 E 163RD ST 10451" "MERRY LAND BUFFET"
"2557" "505 EAST    6 STREET 10009" "EASTERN BLOC"
"2558" "505 FRANKLIN AVENUE 11238" "DAILY PRESS BED-STUY"
"2559" "505 GATEWAY DRIVE 11239" "OLIVE GARDEN"
"2560" "505 GRAND STREET 10002" "A-1 PIZZA SHOP"
"2561" "505 MYRTLE AVENUE 11205" "PILLOW"
"2562" "505 UTICA AVENUE 11203" "WENDY'S"
"2563" "505 WEST   37 STREET 10018" "CLYDE FRAZIER'S WINE AND DINE"
"2564" "505507 WEST 23 STREET 10011" "THE HALF KING"
"2565" "506 5 AVENUE 11215" "THE FIFTH ESTATE"
"2566" "506 9TH AVE 10018" "BOCCONE"
"2567" "506 CLARKSON AVENUE 11203" "DUNKIN' DONUTS"
"2568" "506 DRIGGS AVENUE 11211" "TEA BAR"
"2569" "506 FRANKLIN AVE 11238" "HART'S"
"2570" "506 GRAND STREET 11211" "BURNSIDE"
"2571" "506 LAGUARDIA PL 10012" "FREUD"
"2572" "506 LENOX AVENUE 10037" "TOWER'S CAFE"
"2573" "506 NOSTRAND AVENUE 11216" "BROOKLYN BABY CAKES"
"2574" "506 WILLIS AVENUE 10455" "SUNLIGHT PIZZA COFFEE SHOP"
"2575" "5060 BROADWAY 10034" "BROWN SUGAR BAR & RESTAURANT"
"2576" "507 3RD AVE 10016" "U YES"
"2577" "507 COLUMBUS AVE 10024" "BLOSSOM  ON COLUMBUS"
"2578" "507 CONEY ISLAND AVE 11218" "LA DAMA'S COOKIES"
"2579" "507 E 161ST ST 10451" ""
"2580" "507 E 6TH ST 10009" "KIN ASIAN BISTRO"
"2581" "507 EAST    5 STREET 10009" "SOPHIE'S"
"2582" "507 GRAND STREET 11211" "WILLIAMS & BAILEY"
